Date,Season,Temperature_C,WindSpeed_m_s,CloudCoverage_pct,Fog,Production_kWh_day,Price_eur_mwh
2015-01-01,Winter,-0.2,4.4,59.4,0,130513,50.35
2015-01-02,Winter,-4.1,3.89,82.4,0,99860,40.76
2015-01-03,Winter,2.7,2.74,58.7,0,131406,63.93
2015-01-04,Winter,1.4,2.45,43.9,0,147863,59.28
2015-01-05,Winter,7.3,3.28,67.3,0,109991,56.96
2015-01-06,Winter,2.7,2.03,25.2,1,134422,55.03
2015-01-07,Winter,-1.8,2.11,18.6,0,168931,53.58
2015-01-08,Winter,-4.9,2.14,65.3,0,118501,53.18
2015-01-09,Winter,4,3.62,50.7,0,136961,44.04
2015-01-10,Winter,0.2,1.64,93.7,1,77040,57.19
2015-01-11,Winter,1.2,3.4,69.3,0,121485,68.13
2015-01-12,Winter,-0.9,2.86,83.7,0,104960,67.63
2015-01-13,Winter,-6.5,3.97,73.6,0,113806,61.3
2015-01-14,Winter,5.1,3.37,67.1,0,125010,52.35
2015-01-15,Winter,3.4,4.48,76.1,1,99900,56.41
2015-01-16,Winter,2.4,1.9,71.5,0,109573,62.29
2015-01-17,Winter,4.2,2.34,45.7,0,142560,46.18
2015-01-18,Winter,-3.5,3.52,87,1,83789,48.02
2015-01-19,Winter,9.4,1.63,55.2,0,134816,58.55
2015-01-20,Winter,0.2,2.09,74.4,0,110369,62.57
2015-01-21,Winter,2.9,2.43,48.2,0,137010,67.85
2015-01-22,Winter,4.5,1.51,68.5,0,113385,60.8
2015-01-23,Winter,-9.4,3.4,65.6,0,127144,50
2015-01-24,Winter,8.2,2.31,47.8,0,137424,52.81
2015-01-25,Winter,1.7,2.31,60.3,0,123233,70.54
2015-01-26,Winter,-5.3,2.81,61.1,0,123414,50.08
2015-01-27,Winter,0.1,1.57,55.1,1,117144,59.7
2015-01-28,Winter,12.4,3.79,84.3,0,104341,70.92
2015-01-29,Winter,0.5,2.86,56.8,0,131841,76.7
2015-01-30,Winter,-4.2,3.22,56.3,0,132936,49.85
2015-01-31,Winter,0.8,2.16,66.4,0,129096,64.13
2015-02-01,Winter,5.5,3.07,55.2,0,129493,60.61
2015-02-02,Winter,1.5,0.98,53.5,0,129284,48.73
2015-02-03,Winter,1.6,4.03,44,0,139930,51.54
2015-02-04,Winter,8.7,3.2,80.8,0,107745,42.72
2015-02-05,Winter,7.3,0.2,52.9,0,138594,58.51
2015-02-06,Winter,4,3.47,67.2,0,119084,48.13
2015-02-07,Winter,3.7,3.51,76.4,0,106372,62.22
2015-02-08,Winter,4.6,3.39,65,1,103674,52.85
2015-02-09,Winter,2.3,3.62,60.8,0,129788,50.62
2015-02-10,Winter,4,1.95,60.5,0,128498,43.8
2015-02-11,Winter,4.5,3.21,33.6,1,138736,68.68
2015-02-12,Winter,9.9,2.18,35.8,0,146460,42
2015-02-13,Winter,-0.7,3.13,36.3,0,152778,43.59
2015-02-14,Winter,7.8,1.68,66.3,0,119377,68.5
2015-02-15,Winter,10.7,3.5,91.5,0,95320,55.24
2015-02-16,Winter,0.6,3.63,59.1,0,132757,52.89
2015-02-17,Winter,4.7,3.96,54.3,0,134933,48.47
2015-02-18,Winter,5,3.15,52,0,138735,56.14
2015-02-19,Winter,3.4,3.17,59.9,0,127216,64.9
2015-02-20,Winter,2.1,2.77,55,0,132970,62.6
2015-02-21,Winter,0,2.86,70.1,0,118829,63.37
2015-02-22,Winter,-4.8,3.13,44.6,0,134418,51.89
2015-02-23,Winter,6.3,2.83,38.3,1,129312,59
2015-02-24,Winter,-9.1,2.57,64.9,0,118672,51.89
2015-02-25,Winter,6,2.76,89.5,0,93235,63.05
2015-02-26,Winter,7.7,2.74,54.3,0,130682,35.79
2015-02-27,Winter,-0.1,3.94,44.8,1,133991,56.27
2015-02-28,Winter,6.3,3.16,65,0,117344,60.7
2015-03-01,Spring,11.5,2.73,51.5,0,249258,44.15
2015-03-02,Spring,11.5,3.39,35,0,253800,43.2
2015-03-03,Spring,7.4,2.81,48.3,0,241668,50.64
2015-03-04,Spring,10.2,3.42,77.1,0,194651,46.14
2015-03-05,Spring,9.7,2.74,49,0,249206,47.49
2015-03-06,Spring,6.2,3.84,51.6,0,248202,35.94
2015-03-07,Spring,7.2,2.03,47.8,0,251706,40.82
2015-03-08,Spring,11.3,3.75,51.5,0,238870,50
2015-03-09,Spring,7.1,2.23,59.5,0,218985,45.97
2015-03-10,Spring,10.6,2.85,91.9,1,150478,51.72
2015-03-11,Spring,9.3,2.65,72.9,0,197975,38.78
2015-03-12,Spring,8.2,2.67,72.3,0,190402,47.29
2015-03-13,Spring,9.4,3.51,57,0,220126,51.19
2015-03-14,Spring,10.2,3.1,43.7,0,244918,39.12
2015-03-15,Spring,9.3,2.7,44.3,0,257024,61.39
2015-03-16,Spring,9.6,3.71,72.4,1,179240,43.27
2015-03-17,Spring,11.4,2.41,41.9,0,263837,35.98
2015-03-18,Spring,8.4,2.46,34.8,0,264186,42.82
2015-03-19,Spring,9.8,2.56,69.6,0,206665,38.07
2015-03-20,Spring,8.3,3.64,63.8,0,223759,45.19
2015-03-21,Spring,10.5,3.84,43.8,0,253006,31.21
2015-03-22,Spring,8.6,3.45,65.2,0,219237,47.21
2015-03-23,Spring,11.5,2.06,47.3,0,239535,36.08
2015-03-24,Spring,12.9,2.74,46.7,0,246239,57.33
2015-03-25,Spring,4.1,4.21,52.1,0,237599,58.63
2015-03-26,Spring,13.9,3.57,50.9,0,233111,52.06
2015-03-27,Spring,13.2,3.27,48.5,0,252889,65.09
2015-03-28,Spring,6.3,2.2,65.9,0,207405,43.75
2015-03-29,Spring,17.4,3.12,52.8,0,242814,41.55
2015-03-30,Spring,9.8,2.41,34.7,0,273998,44.01
2015-03-31,Spring,10.9,3.75,62.1,0,226249,46.07
2015-04-01,Spring,19.5,3.16,39.7,0,276250,40.33
2015-04-02,Spring,12,3.32,22.6,0,294174,43.25
2015-04-03,Spring,10.5,1.7,30.5,0,271118,38.12
2015-04-04,Spring,13,3.68,48.9,0,247375,39.12
2015-04-05,Spring,14.6,3.52,58.2,0,215909,30.35
2015-04-06,Spring,15.3,1.41,22.3,0,277842,48.21
2015-04-07,Spring,16.3,1.81,70.7,0,195138,57.14
2015-04-08,Spring,19.5,2.7,35.8,0,264237,43.32
2015-04-09,Spring,11.5,2.49,41.9,0,261137,41.08
2015-04-10,Spring,10.1,2.15,81.4,0,176443,39.52
2015-04-11,Spring,15,1.67,52.1,0,235982,33.06
2015-04-12,Spring,13.9,4.42,57,0,247599,68.92
2015-04-13,Spring,13.8,4.3,74.2,0,199748,52.28
2015-04-14,Spring,9.6,4.09,45,0,261689,42.61
2015-04-15,Spring,16.2,2.43,47.7,0,240358,40.49
2015-04-16,Spring,16.1,3.82,23.2,0,296832,28.3
2015-04-17,Spring,13.1,2.88,25.8,0,278104,45.25
2015-04-18,Spring,22.7,3.43,53.6,0,242358,39.77
2015-04-19,Spring,10.2,2.55,30.8,0,285800,35.72
2015-04-20,Spring,17.3,3.03,51.4,0,228105,50.61
2015-04-21,Spring,12.2,4,36.8,0,275673,38.98
2015-04-22,Spring,11.3,3.02,41.1,0,262175,38.43
2015-04-23,Spring,10.3,2.05,31.7,0,267071,47.07
2015-04-24,Spring,17.3,3.47,60,0,216578,43
2015-04-25,Spring,12.1,2.09,63.7,0,217129,44.41
2015-04-26,Spring,12.5,2.88,57.8,0,224528,46.69
2015-04-27,Spring,12.7,1.99,76.1,0,195753,43.73
2015-04-28,Spring,15.4,1.93,28,0,284707,34.48
2015-04-29,Spring,17.8,4.69,63.8,0,240174,43.04
2015-04-30,Spring,15.1,3.5,49.8,0,245216,45.79
2015-05-01,Spring,23.4,2.36,30.7,0,275342,42.8
2015-05-02,Spring,23.7,1.38,35.8,0,278634,33.58
2015-05-03,Spring,18.3,3.26,34,0,281634,37.1
2015-05-04,Spring,20.6,3.13,32.3,0,299360,35.32
2015-05-05,Spring,22.3,2.47,45.5,0,267073,45.51
2015-05-06,Spring,21.9,3.43,54.3,0,247264,41.19
2015-05-07,Spring,20,3.05,28.1,0,308202,46.58
2015-05-08,Spring,24.4,1.91,36.3,0,263123,46.63
2015-05-09,Spring,19,2.45,55.9,0,230347,47.86
2015-05-10,Spring,19.1,2.87,40.8,0,256073,28.45
2015-05-11,Spring,20.8,3.23,18.5,0,305773,38.92
2015-05-12,Spring,19.3,2.57,48.4,0,237174,36.81
2015-05-13,Spring,16.8,2.65,37.8,0,276013,32.46
2015-05-14,Spring,23,3.58,43.1,0,264066,33.07
2015-05-15,Spring,19.9,1.7,39.3,0,251351,47.05
2015-05-16,Spring,22.7,2.22,28.2,0,279034,52.72
2015-05-17,Spring,23.4,1.39,40.2,0,271444,31.74
2015-05-18,Spring,16.2,2.24,33.4,0,285026,34.6
2015-05-19,Spring,21.5,2.69,44.7,0,280682,47.91
2015-05-20,Spring,18.4,2.19,59.6,0,255083,49.68
2015-05-21,Spring,20.7,2.35,15.9,0,317911,50.28
2015-05-22,Spring,21.7,2.73,25.2,0,285415,37.78
2015-05-23,Spring,17.7,3.41,41,0,243208,38.01
2015-05-24,Spring,17,2.02,60.8,0,227311,44.07
2015-05-25,Spring,19.9,2.96,45.4,0,249694,38.89
2015-05-26,Spring,19,3.13,37.8,0,267685,47.55
2015-05-27,Spring,18.4,0.88,58.8,0,223895,41.09
2015-05-28,Spring,20.9,2.06,21,0,300711,46.18
2015-05-29,Spring,19.4,3.42,30.9,0,298613,28.95
2015-05-30,Spring,21.3,2.1,38.2,0,272191,43.13
2015-05-31,Spring,21.8,1.52,54.3,0,238753,47.9
2015-06-01,Summer,22.5,1.34,23.1,0,337216,24.23
2015-06-02,Summer,25.5,2.31,29.2,0,319334,28.43
2015-06-03,Summer,22.4,2.56,33.4,0,324274,37.77
2015-06-04,Summer,26.1,3.81,24.4,0,358149,38.99
2015-06-05,Summer,30.8,2.78,22.2,0,388271,35.93
2015-06-06,Summer,20.9,2.7,22.9,0,354897,39.45
2015-06-07,Summer,20.2,2.79,24.6,0,362596,38.94
2015-06-08,Summer,21.8,2.17,24.4,0,341828,46.86
2015-06-09,Summer,22.2,1.39,24.6,0,331661,33.79
2015-06-10,Summer,20.8,2.51,6.9,0,372788,38.58
2015-06-11,Summer,26.1,2.75,14,0,367666,34.53
2015-06-12,Summer,25.2,3.24,22.4,0,391209,44.93
2015-06-13,Summer,28.6,1.98,29.3,0,332708,38.25
2015-06-14,Summer,21.8,1.19,27.6,0,352565,51.03
2015-06-15,Summer,30.3,2.65,31.3,0,330113,38.9
2015-06-16,Summer,30.6,2.06,40.7,0,330544,41.59
2015-06-17,Summer,21.2,2.77,33.9,0,334203,28.73
2015-06-18,Summer,26,1.85,30.7,0,336215,28.42
2015-06-19,Summer,22.3,2.29,39.9,0,314769,34.15
2015-06-20,Summer,21.6,0.86,12.2,0,365149,37.72
2015-06-21,Summer,20.5,2.01,19.9,0,363210,29.6
2015-06-22,Summer,25.7,1.54,21.1,0,352976,37.21
2015-06-23,Summer,21.7,1.68,36.9,0,304749,36.36
2015-06-24,Summer,22,2.71,35.2,0,310099,33.69
2015-06-25,Summer,20.8,2.19,22.7,0,354037,30.76
2015-06-26,Summer,25,2.9,41.6,0,335800,29.82
2015-06-27,Summer,27.4,1.93,36.1,0,329648,48.49
2015-06-28,Summer,23,1.79,10.6,0,378240,32.98
2015-06-29,Summer,26.4,1.99,33.3,0,336700,34.1
2015-06-30,Summer,20.9,3.39,26.5,0,365573,36.24
2015-07-01,Summer,29.4,2.04,14.3,0,382178,39.17
2015-07-02,Summer,24.7,1.77,38.8,0,313764,33.88
2015-07-03,Summer,32.3,3.24,17,0,389444,27.1
2015-07-04,Summer,25.8,2.08,18.4,0,372232,44.9
2015-07-05,Summer,27.7,3.14,14.5,0,404106,28.18
2015-07-06,Summer,26.9,2.31,18.2,0,371103,42.67
2015-07-07,Summer,29.5,2.61,23.4,0,342764,48.66
2015-07-08,Summer,29,2.69,22.2,0,343059,20
2015-07-09,Summer,27.3,2.02,27.9,0,368801,33.52
2015-07-10,Summer,30.1,1.25,13.2,0,407933,20.79
2015-07-11,Summer,23.5,2.34,7.3,0,386452,35.87
2015-07-12,Summer,30.5,2.4,34.8,0,328201,33.53
2015-07-13,Summer,27.5,1.63,9.7,0,409629,31.63
